Feature,Group,Correlation,Absolute_Correlation,Normalized_Weight,Weight_Percentage
pumin5_8d,EXTRA,0.3168911890268737,0.3168911890268737,0.0432918464933127,4.33
pu5_8d,EXTRA,0.27476017676297265,0.27476017676297265,0.03753615059928138,3.75
solIdx,EXTRA,-0.17490825345150326,0.17490825345150326,0.02389495675815008,2.39
pumin1_4u,EXTRA,0.1342694471693886,0.1342694471693886,0.018343117438668146,1.83
pumin5_8u,EXTRA,0.10438650777309633,0.10438650777309633,0.014260682615895142,1.43
pu1_4u,EXTRA,0.07834968494020363,0.07834968494020363,0.010703682054546053,1.07
pumin1_4d,EXTRA,0.06931083803558885,0.06931083803558885,0.009468846924314796,0.95
pu5_8u,EXTRA,0.04565472965122173,0.04565472965122173,0.006237085839539606,0.62
pu1_4d,EXTRA,-0.033046079305020466,0.033046079305020466,0.004514564752879452,0.45
seedNumber_1,GROUP_1,0.4263655047706085,0.4263655047706085,0.058247596088913785,5.82
E_1,GROUP_1,-0.4032544069890457,0.4032544069890457,0.055090291209204716,5.51
E_hybrid_1,GROUP_1,-0.3713509219705877,0.3713509219705877,0.05073182109754864,5.07
seedEbest_1,GROUP_1,-0.3332573298238604,0.3332573298238604,0.045527694253065354,4.55
Pu2_1,GROUP_1,-0.2845063834914765,0.2845063834914765,0.03886762114877242,3.89
Etotal_1,GROUP_1,-0.18852364815283476,0.18852364815283476,0.025755013451950803,2.58
Pu1_1,GROUP_1,0.1765295749667169,0.1765295749667169,0.024116452352169204,2.41
ED1_1,GROUP_1,-0.17490839660765534,0.17490839660765534,0.023894976315317888,2.39
ED2_1,GROUP_1,-0.17490694706110202,0.17490694706110202,0.023894778286628407,2.39
P_E_1,GROUP_1,-0.08383708320169857,0.08383708320169857,0.011453338755048899,1.15
seedNumber_2,GROUP_2,0.4534080689059235,0.4534080689059235,0.061941995226127845,6.19
E_hybrid_2,GROUP_2,-0.40508064398330856,0.40508064398330856,0.05533978117406875,5.53
E_2,GROUP_2,-0.39721958465317836,0.39721958465317836,0.05426584858907044,5.43
seedEbest_2,GROUP_2,-0.31498386536744744,0.31498386536744744,0.04303127893594227,4.3
Pu2_2,GROUP_2,-0.3142226601588196,0.3142226601588196,0.0429272874707866,4.29
Pu1_2,GROUP_2,0.16687604798831243,0.16687604798831243,0.02279764317558242,2.28
Etotal_2,GROUP_2,-0.14133292502087363,0.14133292502087363,0.01930808904231053,1.93
ED1_2,GROUP_2,-0.12054656718517673,0.12054656718517673,0.016468376725469355,1.65
ED2_2,GROUP_2,-0.12054501811376069,0.12054501811376069,0.016468165100267163,1.65
P_E_2,GROUP_2,0.028162873455784262,0.028162873455784262,0.003847449334904064,0.38
ED2_3,GROUP_3,-0.2042352941925171,0.2042352941925171,0.027901447912927594,2.79
ED1_3,GROUP_3,-0.2042352806282432,0.2042352806282432,0.02790144605985473,2.79
P_E_3,GROUP_3,-0.17544464407505728,0.17544464407505728,0.023968235351368977,2.4
seedNumber_3,GROUP_3,0.1610477966685128,0.1610477966685128,0.022001421096211775,2.2
E_3,GROUP_3,-0.11590282974482422,0.11590282974482422,0.015833976100319943,1.58
Etotal_3,GROUP_3,-0.0664085758131494,0.0664085758131494,0.00907235659902988,0.91
seedEbest_3,GROUP_3,-0.040161494203584364,0.040161494203584364,0.005486631696333457,0.55
Pu2_3,GROUP_3,0.017528788566970824,0.017528788566970824,0.0023946819922174662,0.24
Pu1_3,GROUP_3,0.017406835470422356,0.017406835470422356,0.0023780214635629043,0.24
E_hybrid_3,GROUP_3,-0.006114666859553956,0.006114666859553956,0.0008353505184364951,0.08
